142,Costa Concordia crash,2012,1,15,tech
143,Presidential Debate,2012,9,30,tech
144,Stratosphere Jump,2012,10,14,tech
145,Penn State Scandal,2012,7,23,tech
146,Trayvon Martin shooting,2012,3,27,tech
147,Pussy Riots,2012,8,17,tech
148,Rebecca Black,2011,3,18,popular
149,Google Plus,2011,7,12,popular
150,Ryan Dunn,2011,6,20,popular
151,Casey Anthony,2011,7,5,popular
152,Battlefield 3,2011,10,27,popular
153,iPhone 5,2011,10,4,popular
154,Adele,2011,12,31,popular
155,東京 電力,2011,3,13,popular
156,Steve Jobs,2011,10,6,popular
157,iPad 2,2011,2,24,popular
158,Chatroulette,2010,3,20,popular
159,iPad,2010,1,28,popular
160,Justin Bieber,2010,8,1,popular
161,Nicki Minaj,2010,11,27,popular
162,Friv,2010,12,25,popular
163,Myxer,2010,12,25,popular
164,Katy Perry,2010,9,24,popular
165,Twitter,2010,8,1,popular
166,Gamezer,2010,3,19,popular
167,Facebook,2010,12,25,popular
168,Michael Jackson,2009,6,26,popular
169,Facebook,2009,12,25,popular
170,Tuenti,2009,12,25,popular
171,Twitter,2009,8,6,popular
172,Sanalika,2009,6,13,popular
173,New Moon,2009,11,21,popular
174,Lady Gaga,2009,11,28,popular
175,windows 7,2009,10,22,popular
176,dantri.com.vn,2009,12,25,popular
177,Torpedo Gratis,2009,11,26,popular
178,Sarah Palin,2008,8,29,popular
179,Beijing 2008,2008,8,9,popular
180,Facebook Login,2008,12,28,popular
181,Tuenti,2008,12,25,popular
182,Heath Ledger,2008,1,23,popular
183,Obama,2008,11,5,popular
184,Nasza Klasa,2008,12,20,popular
185,Wer-kennt-wen,2008,11,11,popular
186,Euro 2008,2008,6,7,popular
187,Jonas Brothers,2008,8,9,popular
188,iPhone,2007,1,10,popular
189,Badoo,2007,12,29,popular
190,Facebook,2007,12,24,popular
191,Dailymotion,2007,12,22,popular
192,Webkinz,2007,12,25,popular
193,YouTube,2007,12,23,popular
194,eBuddy,2007,3,16,popular
195,Second Life,2007,1,31,popular
196,Hi5,2007,12,22,popular
197,Club Penguin,2007,12,22,popular
198,Whitney Houston,2012,2,12,music_artists
199,Michael Clarke Duncan,2012,9,4,music_artists
200,One Direction,2012,11,3,music_artists
201,Donna Summer,2012,5,17,music_artists
202,Lana Del Rey,2012,2,5,music_artists
203,Carolina Dieckmann,2012,5,7,music_artists
204,Dirk Bach,2012,9,8,music_artists
205,Carly Rae Jepsen,2012,7,26,music_artists
206,Michel Telo,2012,1,28,music_artists
207,LMFAO,2012,1,1,music_artists
208,Hurricane Sandy,2012,10,29,events
209,Kate Middleton Pictures Released,2012,12,13,events
210,Olympics 2012,2012,7,28,events
211,SOPA Debate,2012,1,20,events
212,Costa Concordia crash,2012,1,14,events
213,Presidential Debate,2012,9,30,events
214,Stratosphere Jump,2012,10,14,events
